pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
159.766,-119.126,90.0,bottom,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10pF,smt,True
167.894,-119.126,-90.0,bottom,C2,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10pF,smt,True
168.402,-94.742,-90.0,bottom,C3,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt,True
168.402,-98.806,-90.0,bottom,C4,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt,True
168.91,-109.982,90.0,bottom,C5,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1uF,smt,True
167.64,-87.884,180.0,top,D1,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,D_Schottky,smt,True
163.703,-97.282,0.0,top,D2,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,YELLOW,smt,True
163.703,-101.092,0.0,top,D3,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,YELLOW,smt,True
163.703,-93.472,180.0,top,D4,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_RED,smt,True
163.83,-81.788,180.0,top,J1,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_16P,smt,True
161.305,-127.005,90.0,top,J2,,PinHeader_2x03_P2.54mm_Vertical,AVR-ISP-6,tht,True
152.4,-91.445,0.0,top,J3,,PinHeader_1x15_P2.54mm_Vertical,Conn_01x15_Pin,tht,True
175.26,-91.445,0.0,top,J4,,PinHeader_1x15_P2.54mm_Vertical,Conn_01x15_Pin,tht,True
159.766,-119.126,90.0,top,R1,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,True
167.513,-97.282,0.0,top,R2,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470R,smt,True
167.513,-101.092,0.0,top,R3,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470R,smt,True
167.513,-93.472,0.0,top,R4,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470R,smt,True
160.02,-87.884,180.0,top,R5,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5K1,smt,True
163.83,-87.884,180.0,top,R6,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5K1,smt,True
163.83,-119.126,0.0,top,SW1,,SW_Push_1P1T_NO_CK_KMR2,Pushbutton,smt,True
175.26,-83.312,90.0,top,SW2,,slide_switch,SPDT,tht,True
152.4,-83.312,90.0,top,SW3,,slide_switch,SPDT,tht,True
163.83,-109.22,90.0,top,U1,,TQFP-32_7x7mm_P0.8mm,ATmega328P-A,smt,True
163.83,-109.22,0.0,bottom,U2,,TSSOP-14_4.4x5mm_P0.65mm,MCP2221A-I/ST,smt,True
162.814,-96.774,180.0,bottom,U3,,SOT-223-3_TabPin2,MCP1825S,smt,True
163.83,-119.126,180.0,bottom,Y1,,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,Crystal_GND24,smt,True
